,Negative,Neutral,Positive
54108,0.095,0.905,0
54109,0,0.813,0.187
54110,0,0.463,0.537
54111,0,0.385,0.615
54112,0,0.432,0.568
54113,0.281,0.646,0.074
54114,0,1,0
54115,0,0.556,0.444
54116,0,1,0
54117,0.167,0.833,0
54118,1,0,0
54119,1,0,0
54120,0,0.836,0.164
54121,0,0.833,0.167
54122,0,0.454,0.546
54123,0.524,0.476,0
54124,0,0.715,0.285
54125,0,0.484,0.516
54126,0,0.61,0.39
54127,0,1,0
54128,0,0,1
54129,0,1,0
54130,0,0.588,0.412
54131,0.323,0.677,0
54132,0,0.488,0.512
54133,0,0.641,0.359
54134,0,1,0
54135,0,0.465,0.535
54136,0,1,0
54137,0,0.8,0.2
54138,0,0.735,0.265
54139,0.195,0.708,0.097
54140,0,1,0
54141,0,0.809,0.191
54142,0,0.921,0.079
54143,0,1,0
54144,0.114,0.564,0.321
54145,0,0,1
54146,0,0,1
54147,0,0,1
54148,0,0,1
54149,0,0.255,0.745
54150,0,0.477,0.523
54151,0,0.256,0.744
54152,0,0,1
54153,0,0,1
54154,0,0,1
54155,0.431,0.569,0
54156,0,0.519,0.481
54157,0,1,0
54158,0,1,0
54159,0,0.238,0.762
54160,0,0.351,0.649
54161,0,1,0
54162,0.538,0.462,0
54163,0.103,0.897,0
54164,0,1,0
54165,0,1,0
54166,0,0.256,0.744
54167,0,0,1
54168,0,0.238,0.762
54169,0,0,1
54170,0,0.238,0.762
54171,0,0.256,0.744
54172,0,0.238,0.762
54173,0.047,0.554,0.399
54174,0,0.703,0.297
54175,0,0.938,0.062
54176,0.223,0.63,0.147
54177,0,0.6,0.4
54178,0,0.429,0.571
54179,0,0.494,0.506
54180,0,0.334,0.666
54181,0,0.421,0.579
54182,0,1,0
54183,0,0.707,0.293
54184,0,0.477,0.523
54185,0,0.484,0.516
54186,0,0.5,0.5
54187,0,0.533,0.467
54188,0.185,0.815,0
54189,0,1,0
54190,0,1,0
54191,0,1,0
54192,0.37,0.63,0
54193,0,0.854,0.146
54194,0,0.213,0.787
54195,0,0.189,0.811
54196,0.337,0.663,0
54197,0,1,0
54198,0,0.637,0.363
54199,0,0.838,0.162
54200,0,0.585,0.415
54201,0.159,0.723,0.118
54202,0.286,0.714,0
54203,0,1,0
54204,0,0.328,0.672
54205,0,0.75,0.25
54206,0,0.517,0.483
54207,0,0.414,0.586
54208,0,1,0
54209,0,1,0
54210,0,0.784,0.216
54211,0,1,0
54212,0,0.638,0.362
54213,0,1,0
54214,0,0,1
54215,0,0,1
54216,0,0,1
54217,0,0,1
54218,0,0,1
54219,0,0,1
54220,0,0.256,0.744
54221,0,0,1
54222,0.161,0.839,0
54223,0.075,0.787,0.139
54224,0.165,0.73,0.105
54225,0,0.826,0.174
54226,0.524,0.476,0
54227,0,0.727,0.273
54228,0,0.408,0.592
54229,0.128,0.872,0
54230,0.097,0.779,0.124
54231,0,1,0
54232,0.304,0.696,0
54233,0,0.474,0.526
54234,0,0.778,0.222
54235,0.065,0.935,0
54236,0,0.711,0.289
54237,0,0.736,0.264
54238,0.38,0.62,0
54239,0,0.561,0.439
54240,0.211,0.713,0.076
54241,0,0.642,0.358
54242,0,0.599,0.401
54243,0,0.738,0.262
54244,0,0.728,0.272
54245,0,0.684,0.316
54246,0.13,0.87,0
54247,0.348,0.652,0
54248,0,0.728,0.272
54249,0,0.68,0.32
54250,0,0.769,0.231
54251,0,0.556,0.444
54252,0,0.328,0.672
54253,0,1,0
54254,0,1,0
54255,0,1,0
54256,0,0.146,0.854
54257,0,0.295,0.705
54258,0.302,0.698,0
54259,0,1,0
54260,0.032,0.88,0.088
54261,0,0.862,0.138
54262,0.165,0.835,0
54263,0,0.667,0.333
54264,1,0,0
54265,0,0.435,0.565
54266,0,0.506,0.494
54267,0,0.423,0.577
54268,0.192,0.628,0.18
54269,0,0.5,0.5
54270,0,0.571,0.429
54271,0,1,0
54272,0.203,0.758,0.039
54273,0,0.715,0.285
54274,0,0.56,0.44
54275,0,0.45,0.55
54276,0.059,0.844,0.097
54277,0,0.448,0.552
54278,0,0,1
54279,0,0.213,0.787
54280,0,0.448,0.552
54281,0,0.448,0.552
54282,0,0.256,0.744
54283,0,0.256,0.744
54284,0,0.816,0.184
54285,0,0.711,0.289
54286,0,0.711,0.289
54287,0,0.525,0.475
54288,0,0.804,0.196
54289,0,0.753,0.247
54290,0.184,0.763,0.053
54291,0.071,0.929,0
54292,0.221,0.592,0.187
54293,0,0.596,0.404
54294,0,0.328,0.672
54295,0.188,0.671,0.141
54296,0,0.088,0.912
54297,0,0.155,0.845
54298,0,1,0
54299,0,1,0
54300,0,1,0
54301,0,0.808,0.192
54302,0.109,0.68,0.211
54303,0,0.252,0.748
54304,0.167,0.833,0
54305,0,0.333,0.667
54306,0,0.517,0.483
54307,0,1,0
54308,0.196,0.804,0
54309,0.205,0.795,0
54310,0,0.737,0.263
54311,0.118,0.679,0.203
54312,0.18,0.82,0
54313,0,1,0
54314,0,1,0
54315,0.454,0.546,0
54316,0,0.66,0.34
54317,0,0.632,0.368
54318,0,0.641,0.359
54319,0,0.465,0.535
54320,0.414,0.372,0.213
54321,0,0.57,0.43
54322,0,0.47,0.53
54323,0,0.351,0.649
54324,0,1,0
54325,0.089,0.715,0.196
54326,0,0.521,0.479
54327,0,0.847,0.153
54328,0.398,0.602,0
54329,0,1,0
54330,0,1,0
54331,0.149,0.669,0.182
54332,0,0.848,0.152
54333,0.093,0.705,0.202
54334,0.367,0.633,0
54335,0,1,0
54336,0,0.746,0.254
54337,0,0.781,0.219
54338,0.055,0.622,0.323
54339,0.192,0.67,0.138
54340,0,1,0
54341,0,1,0
54342,0,1,0
54343,0.103,0.897,0
54344,0,1,0
54345,0,0.597,0.403
54346,0,0.406,0.594
54347,0,0.56,0.44
54348,0,1,0
54349,0,0.549,0.451
54350,0,0.632,0.368
54351,0,0.588,0.412
54352,0,0.2,0.8
54353,0,1,0
54354,0.126,0.874,0
54355,0,1,0
54356,0,0.579,0.421
54357,0.595,0.405,0
54358,0,0.534,0.466
54359,0,1,0
54360,0.177,0.714,0.109
54361,0,0.44,0.56
54362,0,0.42,0.58
54363,0,0.896,0.104
54364,0,0.364,0.636
54365,0,1,0
54366,0,1,0
54367,0,0.814,0.186
54368,0,1,0
54369,0.226,0.774,0
54370,0.2,0.8,0
54371,0.124,0.876,0
54372,0,0.597,0.403
54373,0,0.7,0.3
54374,0,1,0
54375,0,0.519,0.481
54376,0,1,0
54377,0.119,0.881,0
54378,0.114,0.886,0
54379,0.1,0.81,0.09
54380,0.117,0.724,0.159
54381,0.355,0.645,0
54382,0.098,0.827,0.075
54383,0.097,0.903,0
54384,0,0.805,0.195
54385,0,1,0
54386,0,0.765,0.235
54387,0,0.256,0.744
54388,0,0.5,0.5
54389,0,0.238,0.762
54390,0,0.238,0.762
54391,0,0.744,0.256
54392,0.3,0.7,0
54393,0,0.383,0.617
54394,0.22,0.357,0.423
54395,0,0.797,0.203
54396,0,0.574,0.426
54397,0,0.43,0.57
54398,0.145,0.632,0.222
54399,0.165,0.777,0.058
54400,0,0.763,0.237
54401,0,0.657,0.343
54402,0,0.62,0.38
54403,0.134,0.784,0.082
54404,0.345,0.655,0
54405,0,0.441,0.559
54406,0,0.645,0.355
54407,0,0.373,0.627
54408,0,0.455,0.545
54409,0,0.313,0.687
54410,0.089,0.911,0
54411,0.176,0.784,0.04
54412,0.029,0.971,0
54413,0,0.735,0.265
54414,0,0.564,0.436
54415,0,1,0
54416,0.13,0.434,0.436
54417,0,0.564,0.436
54418,0.084,0.916,0
54419,0,1,0
54420,0,0.756,0.244
54421,0,0.494,0.506
54422,0,0.682,0.318
54423,0,0.661,0.339
54424,0,0.778,0.222
54425,0.312,0.553,0.136
54426,0,1,0
54427,0,0.863,0.137
54428,0,0.333,0.667
54429,0,1,0
54430,0,1,0
54431,0,0.637,0.363
54432,0.267,0.674,0.058
54433,0.231,0.769,0
54434,0,1,0
54435,0,0.564,0.436
54436,0,0.71,0.29
54437,0,1,0
54438,0,0.767,0.233
54439,0,0,1
54440,0,0.256,0.744
54441,0,0.12,0.88
54442,0,1,0
54443,0.846,0.154,0
54444,0,0.699,0.301
54445,0,1,0
54446,0.174,0.762,0.064
54447,0.464,0.536,0
54448,0.565,0.435,0
54449,0.222,0.679,0.099
54450,0,0.663,0.337
54451,0,1,0
54452,0,0.351,0.649
54453,0,0.503,0.497
54454,0,0.351,0.649
54455,0,1,0
54456,0,0.44,0.56
54457,0,1,0
54458,0.244,0.756,0
54459,0,1,0
54460,0,1,0
54461,0.135,0.419,0.445
54462,0,0.284,0.716
54463,0.149,0.462,0.389
54464,0,0.321,0.679
54465,0,0.603,0.397
54466,0,0.712,0.288
54467,0.28,0.72,0
54468,0,1,0
54469,0,1,0
54470,0,0.545,0.455
54471,0,0.874,0.126
54472,0,0.619,0.381
54473,0,0.256,0.744
54474,0,0.258,0.742
54475,0,0.619,0.381
54476,0,0.684,0.316
54477,0.246,0.597,0.157
54478,0.692,0.308,0
54479,0.452,0.548,0
54480,0,0.393,0.607
54481,0,0.58,0.42
54482,0,1,0
54483,0,1,0
54484,0.105,0.895,0
54485,0,0.887,0.113
54486,0,0.323,0.677
54487,0.11,0.6,0.29
54488,0,0.588,0.412
54489,0,1,0
54490,0,0.626,0.374
54491,0,0.577,0.423
54492,0.191,0.783,0.026
54493,0,0.881,0.119
54494,0.222,0.609,0.168
54495,0,1,0
54496,0.279,0.721,0
54497,0.124,0.876,0
54498,0.043,0.931,0.026
54499,0,1,0
54500,0,1,0
54501,0,0.844,0.156
54502,0.069,0.746,0.185
54503,0,0.213,0.787
54504,0.036,0.884,0.08
54505,0.219,0.57,0.211
54506,0,0.61,0.39
54507,0,0.825,0.175
54508,0,1,0
54509,0,0.852,0.148
54510,0.053,0.837,0.11
54511,0,0.791,0.209
54512,0,1,0
54513,0,0.868,0.132
54514,0.12,0.88,0
54515,0.062,0.837,0.101
54516,0.064,0.843,0.093
54517,0,1,0
54518,0,0.697,0.303
54519,0.095,0.596,0.309
54520,0,0.328,0.672
54521,0,0.196,0.804
54522,0,1,0
54523,0,0.299,0.701
54524,0,0.754,0.246
54525,0,1,0
54526,0,0.761,0.239
54527,0,1,0
54528,0,1,0
54529,0,0.238,0.762
54530,0,0.238,0.762
54531,0,0,1
54532,0,0.656,0.344
54533,0.095,0.905,0
54534,0.474,0.526,0
54535,0,1,0
54536,0,1,0
54537,0,1,0
54538,0,0.417,0.583
54539,0,1,0
54540,0.223,0.777,0
54541,0,0.39,0.61
54542,0.14,0.86,0
54543,0.105,0.659,0.236
54544,0,0.783,0.217
54545,0,1,0
54546,0,0.293,0.707
54547,0,0.127,0.873
54548,0,0.838,0.162
54549,0.076,0.819,0.105
54550,0,0.89,0.11
54551,0.166,0.834,0
54552,0,1,0
54553,0.219,0.781,0
54554,0.452,0.348,0.2
54555,0.412,0.588,0
54556,0,1,0
54557,0.225,0.775,0
54558,0,1,0
54559,0,0.392,0.608
54560,0,0.568,0.432
54561,0,0.802,0.198
54562,0,0.473,0.527
54563,0,0.339,0.661
54564,0,0.676,0.324
54565,0,0.321,0.679
54566,0,1,0
54567,0,0.464,0.536
54568,0,1,0
54569,0,0.358,0.642
54570,0,0.377,0.623
54571,0.167,0.745,0.088
54572,0,0.714,0.286
54573,0,0.429,0.571
54574,0.524,0.476,0
54575,0.846,0.154,0
54576,0,1,0
54577,0,0.667,0.333
54578,0,0.417,0.583
54579,0,0.351,0.649
54580,0,0.406,0.594
54581,0,0,1
54582,0,0,1
54583,0,0,1
54584,0,0,1
54585,0,0,1
54586,0,0,1
54587,0,0,1
54588,0,0,1
54589,0,0,1
54590,0,0,1
54591,0,0.561,0.439
54592,0,0.622,0.378
54593,0,0.527,0.473
54594,0,0.734,0.266
54595,0,0.256,0.744
54596,0,0.554,0.446
54597,0.05,0.592,0.358
54598,0,0.597,0.403
54599,0,0.633,0.367
54600,0,0.489,0.511
54601,0,0.818,0.182
54602,0.183,0.734,0.083
54603,0.519,0.481,0
54604,0.071,0.566,0.363
54605,0,0.79,0.21
54606,0,0.822,0.178
54607,0.138,0.862,0
54608,0,0.687,0.313
54609,0,0.702,0.298
54610,0,0.738,0.262
54611,0,0.673,0.327
54612,0,1,0
54613,0,0.755,0.245
54614,0.151,0.849,0
54615,0.082,0.797,0.121
54616,0,1,0
54617,0,0.802,0.198
54618,0,1,0
54619,0,0.733,0.267
54620,0,0.323,0.677
54621,0,0.929,0.071
54622,0.155,0.845,0
54623,0,1,0
54624,0.087,0.878,0.035
54625,0,0.256,0.744
54626,0,0.518,0.482
54627,0,1,0
54628,0,0.588,0.412
54629,0,0.207,0.793
54630,0,0.207,0.793
54631,0,0.123,0.877
54632,0,0.115,0.885
54633,0,0.207,0.793
54634,0,0.207,0.793
54635,0,0.207,0.793
54636,0,0,1
54637,0,0.207,0.793
54638,0,0.207,0.793
54639,0.166,0.834,0
54640,0,1,0
54641,0.266,0.734,0
54642,0,0.58,0.42
54643,0,0.475,0.525
54644,0,0.878,0.122
54645,0,1,0
54646,0.591,0.409,0
54647,0,1,0
54648,0,1,0
54649,0.217,0.783,0
54650,0,0.838,0.162
54651,0,0.842,0.158
54652,0,1,0
54653,0,0.351,0.649
54654,0,1,0
54655,0,0.612,0.388
54656,0.106,0.679,0.215
54657,0,1,0
54658,0,0.463,0.537
54659,0,0.368,0.632
54660,0,0.494,0.506
54661,0,0.484,0.516
54662,0,0.385,0.615
54663,0,0.61,0.39
54664,0,1,0
54665,0,1,0
54666,0,1,0
54667,0,0.747,0.253
54668,0,0.477,0.523
54669,0,1,0
54670,0,0.2,0.8
54671,0,1,0
54672,0,0.673,0.327
54673,0,1,0
54674,0,1,0
54675,0.183,0.757,0.061
54676,0,0.85,0.15
54677,0,1,0
54678,0,1,0
54679,0,0.769,0.231
54680,1,0,0
54681,0.177,0.784,0.039
54682,0,1,0
54683,0.237,0.561,0.201
54684,0,0.539,0.461
54685,0,0.407,0.593
54686,0,0.756,0.244
54687,0.263,0.391,0.346
54688,0,0.838,0.162
54689,0,0.654,0.346
54690,0,1,0
54691,0,0.914,0.086
54692,0,0.69,0.31
54693,0,0.84,0.16
54694,0,1,0
54695,0.336,0.664,0
54696,0.098,0.742,0.16
54697,0,0.791,0.209
54698,0,0.515,0.485
54699,0.132,0.72,0.148
54700,0,1,0
54701,0,0.519,0.481
54702,0.179,0.821,0
54703,0,0,1
54704,0,0,1
54705,0.322,0.526,0.151
54706,0,0.512,0.488
54707,0.132,0.588,0.279
54708,0.202,0.699,0.099
54709,0.155,0.845,0
54710,0.152,0.848,0
54711,0.271,0.663,0.066
54712,0.142,0.858,0
54713,0,1,0
54714,0.177,0.658,0.165
54715,0.124,0.843,0.034
54716,0,0.811,0.189
54717,0,1,0
54718,0,0.843,0.157
54719,0.169,0.831,0
54720,0.287,0.545,0.168
54721,0,0.625,0.375
54722,0,0.645,0.355
54723,0,0.851,0.149
54724,0,1,0
54725,0,0.734,0.266
54726,0,0.687,0.313
54727,0,0.791,0.209
54728,0.2,0.8,0
54729,0,1,0
54730,0,1,0
54731,0,0.367,0.633
54732,0,0.733,0.267
54733,0.075,0.925,0
54734,0,0.524,0.476
54735,0,0.615,0.385
54736,0,1,0
54737,0.135,0.865,0
54738,0.085,0.915,0
54739,0,0.826,0.174
54740,0.116,0.845,0.039
54741,0.175,0.172,0.653
54742,0,0.867,0.133
54743,0.574,0.426,0
54744,0,0.239,0.761
54745,0.364,0.636,0
54746,0,1,0
54747,0.607,0.393,0
54748,0.031,0.904,0.065
54749,0,0.918,0.082
54750,0,0.877,0.123
54751,0,0.527,0.473
54752,0,0,1
54753,0.211,0.704,0.085
54754,0.098,0.847,0.054
54755,0.281,0.719,0
54756,0.085,0.537,0.378
54757,0,1,0
54758,0,0.854,0.146
54759,0,0.891,0.109
54760,0.524,0.476,0
54761,0,0.903,0.097
54762,0,0.635,0.365
54763,0,1,0
54764,0.452,0.548,0
54765,0,1,0
54766,0.23,0.608,0.162
54767,0,0,1
54768,0,0.393,0.607
54769,0,0.213,0.787
54770,0,0,1
54771,0,0,1
54772,0,0.263,0.737
54773,0,1,0
54774,0,0.328,0.672
54775,0,1,0
54776,0,0,1
54777,0,1,0
54778,0,0.606,0.394
54779,0,0.57,0.43
54780,0,0.391,0.609
54781,0,0.633,0.367
54782,0,1,0
54783,0.071,0.884,0.044
54784,0,0.906,0.094
54785,0.076,0.924,0
54786,0.155,0.725,0.119
54787,0,0.786,0.214
54788,0,0.87,0.13
54789,0,0.787,0.213
54790,0.133,0.781,0.086
54791,0,0.703,0.297
54792,0,0.554,0.446
54793,0,0.681,0.319
54794,0.04,0.923,0.037
54795,0,0.697,0.303
54796,0,0.787,0.213
54797,0,0.592,0.408
54798,0,1,0
54799,0,1,0
54800,0,1,0
54801,0.157,0.843,0
54802,0,0.805,0.195
54803,0.831,0.169,0
54804,0,0.566,0.434
54805,0,1,0
54806,0,0.878,0.122
54807,0.733,0.267,0
54808,0,1,0
54809,0,0.385,0.615
54810,0.213,0.787,0
54811,0,0.949,0.051
54812,0.182,0.544,0.274
54813,0.145,0.802,0.053
54814,0.061,0.939,0
54815,0,1,0
54816,0,0.811,0.189
54817,0,0.829,0.171
54818,0,0.527,0.473
54819,0.167,0.833,0
54820,0.831,0.169,0
54821,0,0.128,0.872
54822,0,0.427,0.573
54823,0,0.408,0.592
54824,0,0.775,0.225
54825,0,0.72,0.28
54826,0,0.526,0.474
54827,0.117,0.777,0.105
54828,0,0.328,0.672
54829,0,0.701,0.299
54830,0,0.889,0.111
54831,0,1,0
54832,0,0.423,0.577
54833,0,0.086,0.914
54834,0,1,0
54835,0,0.377,0.623
54836,0,0.705,0.295
54837,0,0.73,0.27
54838,0.205,0.795,0
54839,0,0.549,0.451
54840,0,1,0
54841,0,0.351,0.649
54842,0,0.358,0.642
54843,0,0.196,0.804
54844,0.098,0.669,0.232
54845,0,1,0
54846,0,0.747,0.253
54847,0,0,1
54848,0,1,0
54849,0.167,0.833,0
54850,0,1,0
54851,0.239,0.761,0
54852,0.257,0.597,0.147
54853,0.178,0.467,0.355
54854,0,0.623,0.377
54855,0,0.833,0.167
54856,0,1,0
54857,0,0.775,0.225
54858,0,0,1
54859,0,1,0
54860,0.191,0.67,0.139
54861,0,0.406,0.594
54862,0,0.408,0.592
54863,0,1,0
54864,0.445,0.555,0
54865,0,1,0
54866,0,0.762,0.238
54867,0,0.561,0.439
54868,0,1,0
54869,0,0.775,0.225
54870,0,1,0
54871,0.135,0.618,0.247
54872,0.272,0.362,0.366
54873,0.138,0.751,0.111
54874,0,0.498,0.502
54875,0,0.408,0.592
54876,0.313,0.687,0
54877,0.524,0.476,0
54878,0,0.256,0.744
54879,0,1,0
54880,0,0.732,0.268
54881,0,1,0
54882,0,1,0
54883,0,0.196,0.804
54884,0,0,1
54885,0,0,1
54886,0,0,1
54887,0,0,1
54888,0,0,1
54889,0,0,1
54890,0,0,1
54891,0,0,1
54892,0,0.196,0.804
54893,0.033,0.8,0.168
54894,0,1,0
54895,0.131,0.869,0
54896,0,0.612,0.388
54897,0,0.58,0.42
54898,0,0.845,0.155
54899,0,0.554,0.446
54900,0,0.667,0.333
54901,0,0.735,0.265
54902,0,0.442,0.558
54903,0,0.762,0.238
54904,0,0.488,0.512
54905,0.73,0.27,0
54906,0.167,0.833,0
54907,0.216,0.784,0
54908,0.167,0.833,0
54909,0,0.448,0.552
54910,0,0.465,0.535
54911,0,1,0
54912,0.179,0.821,0
54913,0,1,0
54914,0.08,0.833,0.087
54915,0,1,0
54916,0,0.734,0.266
54917,0,0.918,0.082
54918,0.182,0.667,0.152
54919,0,0.709,0.291
54920,0.267,0.733,0
54921,0.175,0.69,0.135
54922,0.056,0.771,0.174
54923,0.153,0.743,0.104
54924,0,0.423,0.577
54925,0,1,0
54926,0,1,0
54927,0,0.448,0.552
54928,0,1,0
54929,0,0.693,0.307
54930,0,0.727,0.273
54931,0,0.631,0.369
54932,0.176,0.752,0.072
54933,0.043,0.709,0.248
54934,0,1,0
54935,0,1,0
54936,0,1,0
54937,0,0.907,0.093
54938,0.419,0.581,0
54939,0.111,0.702,0.187
54940,0.217,0.559,0.224
54941,0,0.709,0.291
54942,0.072,0.807,0.121
54943,0,0.508,0.492
54944,0.306,0.694,0
54945,0.111,0.769,0.12
54946,0,0.256,0.744
54947,0,0.256,0.744
54948,0,0.408,0.592
54949,0,0.256,0.744
54950,0,0.278,0.722
54951,0,0.256,0.744
54952,0,0.256,0.744
54953,0,0.256,0.744
54954,0,0.303,0.697
54955,0,0.678,0.322
54956,0,0.676,0.324
54957,0,0.755,0.245
54958,0,0.664,0.336
54959,0,0.37,0.63
54960,0,1,0
54961,0,0.308,0.692
54962,0,0.843,0.157
54963,0,0.535,0.465
54964,0,1,0
54965,0,1,0
54966,0,0.58,0.42
54967,0,0.543,0.457
54968,0,0.328,0.672
54969,0.198,0.541,0.261
54970,0.132,0.604,0.264
54971,0,1,0
54972,0,1,0
54973,0.168,0.393,0.438
54974,0,0.58,0.42
54975,0,0.805,0.195
54976,0,1,0
54977,0,0.729,0.271
54978,0,1,0
54979,0,0.351,0.649
54980,0.273,0.727,0
54981,0.13,0.705,0.166
54982,0,0.87,0.13
54983,0.194,0.806,0
54984,0.181,0.659,0.159
54985,0,1,0
54986,0,0,1
54987,0,0.196,0.804
54988,0,1,0
54989,0,1,0
54990,0,1,0
54991,0,0.69,0.31
54992,0,1,0
54993,0,0.617,0.383
54994,0,0.612,0.388
54995,0,0.566,0.434
54996,0,0.519,0.481
54997,0,0.4,0.6
54998,0,0.718,0.282
54999,0,1,0
55000,0,0.54,0.46
55001,0,0.213,0.787
55002,0.097,0.903,0
55003,0,0.509,0.491
55004,0,1,0
55005,0,1,0
55006,0,1,0
55007,0.297,0.545,0.158
55008,0,0.173,0.827
55009,0.13,0.87,0
55010,0,1,0
55011,0,0.417,0.583
55012,0,0.719,0.281
55013,0,1,0
55014,0,0.58,0.42
55015,0,1,0
55016,0.44,0.56,0
55017,0,0.16,0.84
55018,0.069,0.574,0.357
55019,0,0.426,0.574
55020,0.057,0.618,0.326
55021,0.07,0.58,0.35
55022,0,0.729,0.271
55023,0.144,0.435,0.421
55024,0.093,0.358,0.549
55025,0,0.764,0.236
55026,0.266,0.272,0.462
55027,0,0.588,0.412
55028,0,0.511,0.489
55029,0,0.721,0.279
55030,0,0.618,0.382
55031,0.213,0.669,0.118
55032,0.1,0.9,0
55033,0.346,0.654,0
55034,0.209,0.791,0
55035,0,0.641,0.359
55036,0,0.219,0.781
55037,0,0.223,0.777
55038,0,0.244,0.756
55039,0,0.313,0.687
55040,0.121,0.397,0.481
55041,0.262,0.642,0.096
55042,0.159,0.841,0
55043,0,1,0
55044,0.333,0.667,0
55045,0,1,0
55046,0,1,0
55047,0,1,0
55048,0.178,0.649,0.173
55049,0,1,0
55050,0.115,0.804,0.08
55051,0,0.814,0.186
55052,0,1,0
55053,0.154,0.846,0
55054,0,1,0
55055,0.423,0.577,0
55056,0,0.313,0.687
55057,0.171,0.57,0.259
55058,0,0.868,0.132
55059,0.183,0.817,0
55060,0,0.667,0.333
55061,0,0.575,0.425
55062,0,0.688,0.312
55063,0,0.567,0.433
55064,1,0,0
55065,0.138,0.862,0
55066,0,0.791,0.209
55067,0.204,0.658,0.138
55068,0.31,0.4,0.29
55069,0,0.539,0.461
55070,0,0.601,0.399
55071,0,1,0
55072,0,0.448,0.552
55073,0.318,0.682,0
55074,0,1,0
55075,0,1,0
55076,0,0.706,0.294
55077,0,0.687,0.313
55078,0,0.935,0.065
55079,0,1,0
55080,0.207,0.793,0
55081,0.222,0.505,0.273
55082,0,1,0
55083,0,1,0
55084,0,1,0
55085,0,0,1
55086,0,0,1
55087,0,0,1
55088,0,0,1
55089,0,0,1
55090,0,0,1
55091,0,0.508,0.492
55092,0,0.256,0.744
55093,0,0,1
55094,0,0,1
55095,0,0,1
55096,0,0,1
55097,0.529,0.288,0.183
55098,0,0.256,0.744
55099,0,0,1
55100,0.368,0.632,0
55101,0.492,0.508,0
55102,0,1,0
55103,0,0.589,0.411
55104,0,0.713,0.287
55105,0.292,0.708,0
55106,0,0.61,0.39
55107,0,0.364,0.636
55108,0.5,0.5,0
55109,0,0.448,0.552
55110,0.275,0.725,0
55111,0,0.256,0.744
55112,0.197,0.682,0.121
55113,0,0,1
55114,0,1,0
55115,0,0.256,0.744
55116,0,0.408,0.592
55117,0,0.536,0.464
55118,0.303,0.697,0
55119,0,0.575,0.425
55120,0,0.744,0.256
55121,0.219,0.584,0.197
55122,0,0.656,0.344
55123,0,1,0
55124,0,0.672,0.328
55125,0,0.738,0.262
55126,0,0.456,0.544
55127,0,0.448,0.552
55128,0,0.641,0.359
55129,0,1,0
55130,0,1,0
55131,0,0.244,0.756
55132,0,1,0
55133,0,1,0
55134,0,0.42,0.58
55135,0,0.417,0.583
55136,0,0.256,0.744
55137,0,1,0
55138,0,0.165,0.835
55139,0,0.256,0.744
55140,0,0.213,0.787
55141,0,0.343,0.657
55142,0,0.27,0.73
55143,0,0.135,0.865
55144,0,0.615,0.385
55145,0.355,0.645,0
55146,0,0.5,0.5
55147,0,0.508,0.492
55148,0,0.494,0.506
55149,0,0.719,0.281
55150,0,0.591,0.409
55151,0,0.423,0.577
55152,0,0.487,0.513
55153,0,0.924,0.076
55154,0.224,0.664,0.112
55155,0,0.745,0.255
55156,0,1,0
55157,0,0.497,0.503
55158,0.123,0.761,0.116
55159,0.091,0.909,0
55160,0,0.958,0.042
55161,0.126,0.643,0.232
55162,0.149,0.851,0
55163,0.054,0.476,0.469
55164,0.041,0.576,0.383
55165,0.056,0.697,0.247
55166,0.133,0.527,0.34
55167,0,0.323,0.677
55168,0,0.549,0.451
55169,0,0.9,0.1
55170,0.06,0.612,0.327
55171,0.123,0.546,0.332
55172,0,0.443,0.557
55173,0.235,0.513,0.251
55174,0,1,0
55175,0,0.526,0.474
55176,0,0.328,0.672
55177,0,1,0
55178,0,0,1
55179,0,0,1
55180,0.099,0.791,0.111
55181,0,0.769,0.231
55182,0.186,0.76,0.053
55183,0,1,0
55184,0.242,0.758,0
55185,0.096,0.844,0.06
55186,0.118,0.5,0.382
55187,0.255,0.745,0
55188,0,1,0
55189,0,1,0
55190,0,0.796,0.204
55191,0.231,0.457,0.312
55192,0,0.563,0.437
55193,0,0.625,0.375
55194,0.199,0.801,0
55195,0,0,1
55196,0,1,0
55197,0.064,0.848,0.088
55198,0.066,0.934,0
55199,0,0.303,0.697
55200,0.224,0.364,0.412
55201,0,1,0
55202,0,1,0
55203,0,1,0
55204,0,0.861,0.139
55205,0.146,0.724,0.13
55206,0.187,0.663,0.151
55207,0,1,0
55208,0,0.931,0.069
55209,0,1,0
55210,0,0.795,0.205
55211,0,1,0
55212,0.129,0.871,0
55213,0,0.833,0.167
55214,0,1,0
55215,0.085,0.915,0
55216,0.167,0.833,0
55217,0.168,0.832,0
55218,0.214,0.786,0
55219,0.152,0.765,0.083
55220,0.163,0.637,0.199
55221,0,1,0
55222,0.28,0.72,0
55223,0,0.909,0.091
55224,0.293,0.628,0.079
55225,0,0.597,0.403
55226,0,1,0
55227,0.263,0.737,0
55228,0.393,0.607,0
55229,0.239,0.558,0.202
55230,0.247,0.753,0
55231,0.23,0.384,0.386
55232,0,1,0
55233,0.277,0.34,0.383
55234,0,0.351,0.649
55235,0,0.754,0.246
55236,0.312,0.688,0
55237,0.191,0.766,0.043
55238,0,1,0
55239,0,1,0
55240,0,0,1
55241,0,0.903,0.097
55242,0.259,0.741,0
55243,0.061,0.639,0.3
55244,0.172,0.747,0.081
55245,0,0.323,0.677
55246,0,0.192,0.808
55247,0,0.769,0.231
55248,0,0.591,0.409
